僌,人車攴,亻車攵
働,人動,亻動
僎,人巽,亻巽
像,人象,亻象
僐,人善,亻善
僑,人喬,亻喬
僒,人窘,亻窘
僓,人貴,亻貴
僔,人尊,亻尊
僕,人菐,亻菐
僖,人喜,亻喜
僗,人勞,亻勞
僘,人敞,亻敞
僙,人黃,亻黃,人黄,亻黄
僚,人尞,亻尞
僛,人欺,亻欺
僜,人登,亻登
僝,人孱,亻孱
僞,人爲,亻爲
僟,人幾,亻幾
僠,人番,亻番
僡,人惠,亻惠
僢,人舜,亻舜
僣,人替,亻替
僤,人單,亻單
僥,人堯,亻堯
僦,人就,亻就
僧,人曽,亻曽,人曾,亻曾
僨,人賁,亻賁
僩,人閒,亻閒
僪,人矞,亻矞
僫,人惡,亻惡
僬,人焦,亻焦
僭,人朁,亻朁
僮,人童,亻童
僯,人粦,亻粦
僰,棘人
僱,人雇,亻雇
僳,人粟,亻粟
僴,人間,亻間
僵,人畺,亻畺
僶,人黽,亻黽
僷,人葉,亻葉
僸,人禁,亻禁
價,人賈,亻賈
僺,人喿,亻喿
僻,人辟,亻辟
僼,人豐,亻豐
僽,人愁,亻愁
僾,人愛,亻愛
僿,人塞,亻塞
儀,人義,亻義
儁,人雋,亻雋
儂,人農,亻農
儃,人亶,亻亶
億,人意,亻意
儅,人當,亻當
儆,人敬,亻敬
儇,人睘,亻睘
儈,人會,亻會
儉,人僉,亻僉
儊,人楚,亻楚
儋,人詹,亻詹
儌,人敫,亻敫
儍,人凶丶丶丶丶八夕,亻凶丶丶丶丶八夂
儎,人載,亻載
儐,人賓,亻賓
儑,人日幺幺火,亻日幺幺灬,人㬎,亻㬎
儒,人需,亻需
儓,人臺,亻臺
儔,人壽,亻壽
儕,人齊,亻齊
儖,人監,亻監
儗,人疑,亻疑
儘,人盡,亻盡
儙,人遣,亻遣
儚,人夢,亻夢
儛,人舞,亻舞
儜,人寧,亻寧
儝,人榮,亻榮
儞,人爾,亻爾
償,人賞,亻賞
儠,人巤,亻巤
儡,人畾,亻畾,人田田田,亻田田田
儢,人慮,亻慮
儣,人廣,亻廣
儤,人暴,亻暴
儥,人賣,亻賣
儦,人麃,亻麃
儧,人賛,亻賛
儨,人質,亻質
儩,人賜,亻賜
優,人憂,亻憂
儫,人豪,亻豪
儬,人靚,亻靚
儭,人親,亻親
儮,人歷,亻歷
儯,人駦,亻駦
儰,人蒍,亻蒍
儱,人龍,亻龍
儲,人諸,亻諸
儳,人毚,亻毚
儴,人襄,亻襄
儵,攸黑,攸黑
儶,人巂,亻巂
儷,人麗,亻麗
儸,人羅,亻羅
儹,人贊,亻贊
儺,人難,亻難
儻,人黨,亻黨
儼,人嚴,亻嚴
儽,人纍,亻纍
儾,人囊,亻囊
兀,一儿
允,厶儿
兂,匸丿乚旡,厂尢旡
元,二儿
兄,口儿
充,亠允
兆,儿丷八,冰儿丶丶,冫儿丶丶
兇,凶儿
先,丿土儿
光,小兀
兊,公儿,八允
克,十兄,十口儿
兌,八兄,八口儿
免,刀口丨儿
兎,丿丨口儿丶
兏,厂上儿
児,旧儿
兒,臼儿
兓,旡旡
兔,刀口丨儿丶
兕,凹儿
兖,亠兊
兗,亠兌
兘,元台
兛,克千
兜,匚白㇆一儿
兝,克分
兞,克毛
兟,先先
兠,北白儿,丬白匕儿
兢,克克
兣,克厘
兤,光廣
入,乁丿
兦,丨一入
內,冂入
全,人王
兩,一冂丨入入
兪,入一肉巜,入一月巜
八,丿乁
公,八厶
六,亠八
兮,八丂
共,井八,十丨一八,二丨丨八
兲,王八
兵,丘八
其,甘一八
具,目一八
典,曲八
兼,丷一彐丨丨八,丷一聿丨丨八,丷一肀丨丨八
兾,丷異
兿,丷一执云
冀,北異
冂,丨乙
冄,冂二
円,冂丄
冇,一丿冂
冉,冂十一
冊,冂一丨丨
冋,冂口
再,一冂十一
冏,冂八口
冐,冂二月,曰月,日月
冑,由冃,由冂二,由月
冒,冃目,冂二目,曰目,日目
冓,井再
冔,冃吁,冂二吁
冕,冃勉,冂二勉,曰勉,日勉
冖,丶乛
冗,冖几
冘,冖人,冖丿乚
冚,冖山
冝,冖且
冞,冖米
冟,冖皀,冖皂
冠,冖元寸
冡,冖一豕
冢,冖豖
冣,冖取
冤,冖兔
冥,冖日大
冦,冖元攴
冧,冖林
冨,冖畐
冩,冖舄
冪,冖幕
冫,丶丿
冬,夕冰,夂冫
冭,大冰,大冫
冮,冰工,冫工
冰,冰水,冫水
冱,冰互,冫互
冴,冰牙,冫牙
冶,冰台,冫台
冷,冰令,冫令
冸,冰半,冫半
冹,冰犮,冫犮
冺,冰民,冫民
冼,冰先,冫先
冽,冰列,冫列
冾,冰合,冫合
冿,冰聿,冫聿
凁,冰束,冫束
凂,冰免,冫免
凃,冰余,冫余
凅,冰固,冫固
准,冰隹,冫隹
凇,冰松,冫松
凈,冰爭,冫爭
凊,冰青,冫青
凋,冰周,冫周
凌,冰夌,冫夌
凍,冰東,冫東
凎,冰金,冫金
凐,冫垔,冰垔
凒,冰豈,冫豈
凓,冰栗,冫栗
凔,冰倉,冫倉
凕,冰冥,冫冥
凗,冰崔,冫崔
凘,冰斯,冫斯
凙,冰睪,冫睪
凚,冰禁,冫禁
凜,冰稟,冫稟
凝,冰疑,冫疑
凞,冰熙,冫熙
凟,冰賣,冫賣
几,丿乙
凡,几丶
凢,丶几
凣,丨几,丶几
凥,尸几
処,夕几,夂几
凧,几巾
凨,几云
凬,几一日
凮,几百
凰,几皇
凱,豈几
凲,几兼
凳,登几
凴,馮几
凵,丨一丨
凶,凵乂
凷,凵土
出,山山,山凵,凵丨凵
凼,凵水
函,凵氶
凾,凵了口又,凵亟
刀,㇆丿
刂,丨亅
刃,刀丶
刄,刀乀
刅,刀八
分,八刀
切,七刀
刈,乂刀,乂刂
刉,乞刀,乞刂
刊,干刀,干刂
刋,千刀,千刂
刌,寸刀,寸刂
刍,刀彐
刎,勿刀,勿刂
刏,气刀,气刂
刐,丹刀,丹刂
刑,开刀,开刂
划,戈刀,戈刂
刓,元刀,元刂
刔,夬刀,夬刂
刕,刀刀刀
刖,月刀,月刂
列,歹刀,歹刂
刜,弗刀,弗刂
初,衣刀,衤刀
刞,且刀,且刂
刟,召刀,召刂
刡,民刀,民刂
刢,令刀,令刂
刣,台刀,台刂
判,半刀,半刂
別,口刀刀,口刀刀刂
刦,去刀,去刂
刧,去刀
刨,包刀,包刂
利,禾刀,禾刂
刪,冊刀,冊刂
刮,舌刀,舌刂
刯,亘刀,亘刂
到,至刀,至刂
刱,井刅
刲,圭刀,圭刂
刳,夸刀,夸刂
刴,朶刀,朶刂
刵,耳刀,耳刂
制,丿二巾刀,丿二巾刂
刷,尸巾刀,尸巾刂
券,丷夫刀,𠔉刀
刺,朿刀,朿刂,木冂刀,木冂刂
刻,亥刀,亥刂
刼,去刃
